cell_id	component	command	result	reason	evidence_path
producer-build-zed-off	producer-build	cmake -B build -S . && cmake --build build	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/producer-build-zed-off.log
producer-build-zed-on	producer-build	cmake -B build-zed -S . -DWITH_BACKEND_ZED=ON && cmake --build build-zed	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/producer-build-zed-on.log
python-parser-full-suite	python-parser	uv run pytest -q	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/python-parser-full-suite.log
python-v1-valid	python-parser	uv run pytest -q tests/test_import_and_protocol.py::test_v1_parse_pass	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/python-v1-valid.log
python-v2-left-only-valid	python-parser	uv run pytest -q tests/test_import_and_protocol.py::test_v2_left_only_parse_pass	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/python-v2-left-only-valid.log
python-v2-left-depth-valid	python-parser	uv run pytest -q tests/test_import_and_protocol.py::test_v2_left_depth_parse_pass	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/python-v2-left-depth-valid.log
python-v2-malformed	python-parser	uv run pytest -q tests/test_import_and_protocol.py::test_v2_malformed_descriptor_rejected	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/python-v2-malformed.log
gui-parser-fixture-checker	gui-parser	cmake -B build-fixture-check -S app/cvmmap-client/tests && cmake --build build-fixture-check && ./build-fixture-check/protocol_fixture_check	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/gui-parser-fixture-checker.log
gui-full-build	gui-build	cmake -B build-matrix-task11 -S . && cmake --build build-matrix-task11	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/gui-full-build.log
control-reset-compatibility	control-wire	build/cv-mmap -c config.toml (background) + PYTHONPATH=<python-client>/src uv run python reset_frame_count	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/control-reset-compatibility.log
control-unsupported-major-rejection	control-wire	build/cv-mmap -c config.toml (background) + PYTHONPATH=<python-client>/src uv run python raw unsupported-major control request	PASS	exit code 0	/workspaces/zed-playground/cv-mmap/.sisyphus/evidence/task-11-interop-matrix/20260305T033137Z-3569880/cells/control-unsupported-major-rejection.log
